id;nom_porteur;num_carte;date_expiration;cvv
1;Cambridgeshire Reduced;41151;2023-11-08T15:31:30;44404
2;e-commerce Peso Aquitaine;35761;2023-11-09T07:31:05;31743
3;Ergonomic;11430;2023-11-09T07:08:19;95921
4;Nicaragua Buckinghamshire;45380;2023-11-08T21:20:21;96143
5;client-driven Saint-Honoré a;98673;2023-11-08T12:46:55;14975
6;Outdoors Bacon multi-byte;88036;2023-11-08T12:12:20;91297
7;base;98755;2023-11-08T17:18:09;58006
8;Buckinghamshire;10150;2023-11-09T01:03:43;84804
9;Rubber Vatu;75050;2023-11-09T01:09:36;89770
10;Rupiah;72751;2023-11-08T18:39:59;5809
